Molecule ID,SMILES,Metabolites
osthole,COc1ccc2ccc(=O)oc2c1CC=C(C)C,COc1cc2c(cc1C/C=C(\C)CO)OC(=O)CC2 COc1ccc(C(=O)O)c(O)c1CC=C(C)C COc1ccc2c(O)cc(=O)oc2c1CC=C(C)C CC(C)=CCc1c(O)ccc2ccc(=O)oc12 COc1cc2ccc(=O)oc2c(CC=C(C)C)c1OC COc1ccc2c(c1CC=C(C)C)OC(=O)CC2 COc1c(O)ccc2ccc(=O)oc12 COc1ccc2ccc(=O)oc2c1CC=C(C)CO COC1=C(CC=C(C)C)c2oc(=O)ccc2CC1 COc1ccc2cc(O)c(=O)oc2c1CC=C(C)C COc1c(O)ccc2c(O)cc(=O)oc12 COc1cc(O)c2ccc(=O)oc2c1CC=C(C)C C=C(C)CCc1c(O)ccc2ccc(=O)oc12 COc1c(O)cc2ccc(=O)oc2c1CC=C(C)C
TAK-438,CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1,CNC(=O)c1c[nH]c(-c2ccccc2F)c1 O=S(=O)(c1cccnc1)n1cc(CNO)cc1-c1ccccc1F CN(Cc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1)C1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O O=C(O)c1cc(-c2ccccc2)n(S(=O)(=O)c2cccnc2)c1 CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2ccc[n+](C)c2)c1 O=S(=O)(c1cccnc1)n1cc(CO)cc1-c1ccccc1F CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2ccc(O)nc2)c1 CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1O CNCc1c[nH]c(-c2ccccc2F)c1 CN(Cc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1)C(=O)O NCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1 CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2ccc[n+]([O-])c2)c1 O=S(=O)(c1cccnc1)n1cc(CNCO)cc1-c1ccccc1F
suvorexant,Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)ccc4o3)CCC2C)c1,Cc1ccc(-n2nccn2)c(C(=O)N2CCNCC2C)c1 Cc1ccc(-n2nccn2)c(C(=O)N2CC[N+]([O-])(c3nc4cc(Cl)ccc4o3)CC2)c1 CC(CCNc1nc2cc(Cl)ccc2o1)NC(=O)c1cc(CO)ccc1-n1nccn1 CC1CCN(c2nc3cc(Cl)ccc3o2)CCN1C(=O)c1cc(CO)ccc1-n1nccn1 Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)ccc4o3)CC2)c1 Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)ccc4o3)CCC2CO)c1 Cc1cc(C(=O)N2CCN(c3nc4cc(Cl)ccc4o3)CCC2C)c(-n2nccn2)cc1O O=C(O)N1CCN(c2nc3cc(Cl)ccc3o2)CC1 COc1cc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)ccc4o3)CCC2C)cc1C O=C(O)c1cc(CO)ccc1-n1nccn1 CC1CC[N+](c2nc3cc(Cl)ccc3o2)CCN1C(=O)c1cc(CO)ccc1-n1nccn1 CC1CCNCCN1C(=O)c1cc(CO)ccc1-n1nccn1 Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)cc(O)c4o3)CCC2C)c1 CC1(O)CCN(c2nc3cc(Cl)ccc3o2)CCN1C(=O)c1cc(CO)ccc1-n1nccn1 Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)c(O)cc4o3)CCC2C)c1 Cc1ccc(-n2nccn2)c(C(=O)N2CC[N+]([O-])(c3nc4cc(Cl)ccc4o3)CCC2C)c1 Cc1cc(O)c(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)ccc4o3)CCC2C)c1
TSAHC,Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(O)cc3)cc2)cc1,Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)C=Cc3ccc(OC4O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]4O)cc3)cc2)cc1 Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(OS(=O)(=O)[O-])cc3)cc2)cc1 Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(OS(=O)(=O)O)c(O)c3)cc2)cc1 Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(O)c(O)c3)cc2)cc1 Cc1ccc(S(N)(=O)=O)cc1 Nc1ccc(C(=O)/C=C/c2ccc(O)cc2)cc1 Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(OS(=O)(=O)O)cc3)cc2)cc1 O=C(/C=C/c1ccc(O)cc1)c1ccc(NS(=O)(=O)c2ccc(CO)cc2)cc1 Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(OC4OC(C(=O)O)C(O)C(O)C4O)cc3)cc2)cc1 Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(OC4O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]4O)cc3)cc2)cc1 Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)CCc3ccc(O)cc3)cc2)cc1 Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(OS(=O)(=O)O)cc3O)cc2)cc1 Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)CC(O)c3ccc(O)cc3)cc2)cc1 Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)C=Cc3ccc(OS(=O)(=O)O)cc3)cc2)cc1 Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)C=Cc3ccc(O)c(O)c3)cc2)cc1
ripasudil,C[C@H]1CNCCCN1S(=O)(=O)c1cccc2cncc(F)c12,C[C@H]1CN(S(=O)(=O)c2cccc3cncc(F)c23)CCCN1S(=O)(=O)[O-] C[C@H]1CNCCCN1S(=O)(=O)c1ccc(O)c2cncc(F)c12 O=S(=O)(c1cccc2cncc(F)c12)N1CCCNCC1 CC1CN(S(=O)(=O)c2cccc3c(N)ncc(F)c23)CCCN1 C[C@@H]1CN(S(=O)(=O)c2cccc3cncc(F)c23)CCCN1S(=O)(=O)[O-] CC1CN(S(=O)(=O)c2cccc3cncc(F)c23)CCCN1S(=O)(=O)O C[C@@H]1CN(S(=O)(=O)c2cccc3c(O)ncc(F)c23)CCCN1 O=S(=O)(O)c1cccc2cncc(F)c12 CC1CN(S(=O)(=O)c2cccc3c(O)ncc(F)c23)CCCN1 C[C@H]1CN(S(=O)(=O)c2cccc3c(S(=O)(=O)[O-])cccc23)CCCN1 C[C@H]1CN(S(=O)(=O)c2cccc3c(F)cncc23)CCC(O)N1 CC1CN(S(=O)(=O)c2cccc3c(F)cncc23)CCC(O)N1 C[C@@H]1CN(S(=O)(=O)c2cccc3cncc(F)c23)CCCN1 C[C@H]1CN(S(=O)(=O)c2cccc3c(F)cncc23)CCCN1 C[C@H]1CN(S(=O)(=O)c2cccc3c(O)ncc(F)c23)CCCN1 C[C@H]1CNCCCN1S(=O)(=O)c1cccc2c(O)ncc(F)c12 CC1CN(S(=O)(=O)c2cccc3cncc(F)c23)CCCN1S(=O)(=O)[O-] CC1CCCN(S(=O)(=O)c2cccc3c(N)ncc(F)c23)C1 C[C@H]1CN(S(=O)(=O)c2cccc3cncc(F)c23)CCCN1 CC1CN(S(=O)(=O)c2cccc3cncc(F)c23)CCCN1 CC1CN(S(=O)(=O)c2cccc3c(O)ncc(F)c23)CCCN1S C[C@H]1CN(S(=O)(=O)c2cccc3cncc(F)c23)CCC(O)N1 C[C@H]1CN(S(=O)(=O)c2cccc3c(O)ncc(F)c23)CCCN1S C[C@H]1CNCCCN1S(=O)(=O)c1cccc2c(N)ncc(F)c12
crizotinib,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)cc(O)c(F)c1Cl CC(Oc1cc(-c2cnn(C3CCN(O)CC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl C[C@H](Oc1cc(-c2cnn(C3CCN(C(=O)O)CC3)c2)cnc1N)c1c(F)ccc(Cl)c1Cl C[C@@H](Oc1cc(-c2cnn(C3CCN(S(=O)(=O)O)CC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl C[C@@H](Oc1cc(-c2cn[nH]c2)cnc1N)c1c(Cl)ccc(F)c1Cl C[C@H](Oc1cc(-c2cnn(C3CCN(C(=O)O)CC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl Nc1ncc(-c2cnn(C3CCNCC3)c2)cc1O[C@@H](CO)c1c(Cl)ccc(F)c1Cl CC(Oc1cc(-c2cnn(C3CCN(C(=O)O)CC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl C[C@H](Oc1cc(-c2cnn(C3CCN(O)CC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl C[C@@H](Oc1cc(-c2cnn(C3CCN(O)CC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl C[C@@H](Oc1cc(-c2cnn(C3CCNC(=O)C3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl CC(Oc1cc(-c2cnn(C3CCNC(O)C3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl Nc1ncc(-c2cnn(C3CCNCC3)c2)cc1O CC(Oc1cc(-c2cnn(C3CCN(S(=O)(=O)O)CC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl C[C@@H](Oc1cc(-c2cnn(C3CCNC(O)C3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl
PBPA,CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCC(O)C2)cc1 CC(C)(O)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1 CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCC[C@@H]2O)cc1 CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CC[C@@H](O)C2)cc1 CC(C)CNCc1ccc(-c2cc(O)ccc2S(=O)(=O)N2CCCC2)cc1 CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CC[C@H](O)C2)cc1 CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2O)cc1 CC(CO)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1 CC(C)CNCc1ccc(-c2ccc(O)cc2S(=O)(=O)N2CCCC2)cc1 CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCC[C@H]2O)cc1
S002-333,COc1ccc(S(=O)(=O)N2Cc3[nH]c4ccccc4c3CC2C(N)=O)cc1,COc1ccc(S(=O)(=O)N2Cc3[nH]c4ccc(O)cc4c3CC2C(=N)O)cc1 COc1ccc(S(=O)(=O)N2Cc3[nH]c4cc(O)ccc4c3CC2C(N)=O)cc1 COc1ccc(S(=O)(=O)N2Cc3[nH]c4c(c3CC2C(=O)O)Cc2ccccc2-4)cc1 COc1ccc(S(=O)(=O)N2Cc3[nH]c4ccccc4c3CC2C(=O)NO)cc1 COc1ccc(S(=O)(=O)NC(Cc2[nH]c3ccccc3c2CC(=O)N[C@@H](CC(=O)O)C(=O)O)C(N)=O)cc1 COc1ccc(S(=O)(=O)N2Cc3[nH]c4ccc(O)cc4c3CC2C(N)=O)cc1 COc1ccc(S(=O)(=O)N2Cc3[nH]c4c(O)cccc4c3CC2C(N)=O)cc1 NC(=O)C1Cc2c([nH]c3ccccc23)CN1S(=O)(=O)c1ccc(O)cc1 COc1ccc(S(=O)(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C(=O)NO)cc1 COc1ccc(S(=O)(=O)N2C(C(N)=O)Cc3c([nH]c4ccccc34)C2O)cc1 COc1ccc(S(=O)(=O)N2Cc3[nH]c4ccccc4c3CC2C(=O)O)cc1 COc1ccc(S(=O)(=O)N2Cc3[nH]c4c(c3CC2C(=O)O)Cc2ccccc2N4)cc1 COc1ccc(S(=O)(=O)N2Cc3[nH]c4cccc(O)c4c3CC2C(N)=O)cc1
metoclopramide,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,COc1cc(N)c(Cl)cc1C(=O)NCCN(C)C CCNCCNC(=O)c1cc(Cl)c(N)cc1OC CCN(CC)CCN=C(O)c1cc(Cl)c(N=C(C)O)cc1OC CCN(CC)CCNC(=O)c1ccc(NC(C)=O)c(Cl)c1 CCN(CC)CCN=C(O)c1cc(Cl)c(NC(C)=O)cc1OC COc1cc(N)c(Cl)cc1C(=O)NCCN CCNCCNC(=O)c1cc(Cl)c(N)cc1OCC NCCNC(=O)c1cc(Cl)c(N)cc1O CCN(CC)CCNC(=O)c1cc(Cl)c(NO)cc1O CCN(CC)CCNC(=O)c1ccc(NO)c(Cl)c1 CCN(CC)CCNC(=O)c1cc(Cl)c(NC(C)=O)cc1OC CCN(CC)CCN=C(O)c1cc(Cl)c(NO)cc1OC CCN(CC)CCNC(=O)c1cc(Cl)c(NO)cc1OC CCOc1cc(NO)c(Cl)cc1C(=O)NCCN(CC)CC COc1cc(N)c(Cl)cc1C(N)=O CCNCCN=C(O)c1cc(Cl)c(N)cc1OCC
teneligliptin,Cc1cc(N2CCN([C@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1,O=C(O)[C@@H]1C[C@@H](N2CCN(c3cc(CO)nn3-c3ccccc3)CC2)CN1 Cc1cc(N2CCN([C@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2cccc(O)c2)n1 Cc1cc(N2CCNCC2)n(-c2ccccc2)n1 Cc1cc(N2CCN([C@H]3C[C@H](O)[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1 Cc1cc(N2CCN([C@@H]3CN[C@H](C(O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1 Cc1cc(N2CCN([C@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccc(O)cc2)n1 Cc1cc(N2CCN([C@@H]3CN[C@@H](C(=O)O)C3)CC2)n(-c2ccccc2)n1 Cc1cc(N2CCN([C@H]3C[C@@H](C(=O)N4CCSC4O)N(O)C3)CC2)n(-c2ccccc2)n1 O=C([C@@H]1C[C@@H](N2CCN(c3cc(CO)nn3-c3ccccc3)CC2)CN1)N1CCSC1 Cc1cc(N2CCN([C@H]3CN[C@H](C(=O)N4CCSC4=O)C3)CC2)n(-c2ccccc2)n1 Cc1cc(N2CCN([C@@H]3CN[C@@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccc(O)cc2)n1 Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccc(O)cc2)n1 Cc1cc(N2CCN([C@H]3CN[C@H](C(=O)N4CCSC4O)C3)CC2)n(-c2ccccc2)n1 Cc1cc(N2CCN([C@H]3C[C@H](C(=O)N4CCSC4O)N(O)C3)CC2)n(-c2ccccc2)n1 Cc1cc(N2CCN([C@H]3CN[C@H](C(=O)N4CCS(=O)C4)C3)CC2)n(-c2ccccc2)n1 Cc1cc(N2CCN(C3CC(C(=O)N4CCSC4O)N(O)C3)CC2)n(-c2ccccc2)n1 Cc1cc(N2CCN([C@H]3C[C@@H](C(=O)N4CCSC4)NC3O)CC2)n(-c2ccccc2)n1 Cc1cc(N2CCN(C3CCN(C(=O)N4CCSC4O)C3)CC2)n(-c2ccc(O)cc2)n1 Cc1cc(N2CCN([C@H]3CN[C@H](C(=O)O)C3)CC2)n(-c2ccccc2)n1 Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)O)C3)CC2)n(-c2ccccc2)n1
